Review,Liked,Review_cleaned,Polarity,Length,Word Counts
Wow... Loved this place.,1,"['wow', 'loved', 'place']",0.39999999999999997,23,3
Crust is not good.,0,"['crust', 'good']",0.7,16,2
Not tasty and the texture was just nasty.,0,"['tasty', 'texture', 'nasty']",-1.0,27,3
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1,"['stopped', 'late', 'may', 'bank', 'holiday', 'rick', 'steve', 'recommendation', 'loved']",0.19999999999999998,81,9
The selection on the menu was great and so were the prices.,1,"['selection', 'menu', 'great', 'price']",0.8,36,4
Now I am getting angry and I want my damn pho.,0,"['getting', 'angry', 'want', 'damn', 'pho']",-0.5,39,5
Honeslty it didn't taste THAT fresh.),0,"['honeslty', 'didnt', 'taste', 'fresh']",0.3,36,4
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0,"['potato', 'like', 'rubber', 'could', 'tell', 'made', 'ahead', 'time', 'kept', 'warmer']",0.0,79,10
The fries were great too.,1,"['fry', 'great']",0.8,15,2
A great touch.,1,"['great', 'touch']",0.8,17,2
Service was very prompt.,1,"['service', 'prompt']",0.0,20,2
Would not go back.,0,"['would', 'go', 'back']",0.0,21,3
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0,"['cashier', 'care', 'ever', 'say', 'still', 'ended', 'wayyy', 'overpriced']",0.0,68,8
"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",1,"['tried', 'cape', 'cod', 'ravoli', 'chicken', 'cranberrymmmm']",-0.6,57,6
I was disgusted because I was pretty sure that was human hair.,0,"['disgusted', 'pretty', 'sure', 'human', 'hair']",-0.0625,44,5
I was shocked because no signs indicate cash only.,0,"['shocked', 'sign', 'indicate', 'cash']",-0.7,36,4
Highly recommended.,1,"['highly', 'recommended']",0.16,24,2
Waitress was a little slow in service.,0,"['waitress', 'little', 'slow', 'service']",-0.24375000000000002,38,4
"This place is not worth your time, let alone Vegas.",0,"['place', 'worth', 'time', 'let', 'alone', 'vega']",0.3,45,6
did not like at all.,0,['like'],0.0,8,1
The Burrittos Blah!,0,"['burrittos', 'blah']",0.0,20,2
"The food, amazing.",1,"['food', 'amazing']",0.6000000000000001,18,2
Service is also cute.,1,"['service', 'also', 'cute']",0.5,25,3
I could care less... The interior is just beautiful.,1,"['could', 'care', 'le', 'interior', 'beautiful']",0.85,44,5
So they performed.,1,['performed'],0.0,13,1
That's right....the red velvet cake.....ohhh this stuff is so good.,1,"['thats', 'rightthe', 'red', 'velvet', 'cakeohhh', 'stuff', 'good']",0.35,61,7
